Tue 12/09/2025 13:44:41.20 . INITIALIZE file C:\temp\mDCT_v1.54\LCN01ESVTB_20251209_133828\_Network\netstat.txt by experionadmin on LCN01ESVTB in Domain ALONBIGSCTRL 
mDCT++ [v1.54] (krasimir.kumanov@gmail.com) 

================================================================================== 
===== 13:44:41.23 : netstat -natoq 
================================================================================== 

Active Connections

  Proto  Local Address          Foreign Address        State           PID      Offload State

  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:55574          0.0.0.0:0              LISTENING       11672	InHost      
  TCP    0.0.0.0:55575          0.0.0.0:0              LISTENING       11672	InHost      
  TCP    0.0.0.0:55576          0.0.0.0:0              LISTENING       11672	InHost      
  TCP    0.0.0.0:55577          0.0.0.0:0              LISTENING       11672	InHost      
  TCP    0.0.0.0:55593          0.0.0.0:0              LISTENING       11672	InHost      
  TCP    0.0.0.0:55594          0.0.0.0:0              LISTENING       11664	InHost      
  TCP    0.0.0.0:55608          0.0.0.0:0              LISTENING       11528	InHost      
  TCP    0.0.0.0:55610          0.0.0.0:0              LISTENING       4	InHost      
  TCP    127.0.0.1:80           127.0.0.1:55182        ESTABLISHED     4	InHost      
  TCP    127.0.0.1:445          127.0.0.1:54628        ESTABLISHED     4	InHost      
  TCP    127.0.0.1:1337         127.0.0.1:51668        ESTABLISHED     7024	InHost      
  TCP    127.0.0.1:1434         0.0.0.0:0              LISTENING       4244	InHost      
  TCP    127.0.0.1:8082         127.0.0.1:51726        ESTABLISHED     4	InHost      
  TCP    127.0.0.1:9771         0.0.0.0:0              LISTENING       5768	InHost      
  TCP    127.0.0.1:9771         127.0.0.1:51542        ESTABLISHED     5768	InHost      
  TCP    127.0.0.1:9772         0.0.0.0:0              LISTENING       6120	InHost      
  TCP    127.0.0.1:9773         0.0.0.0:0              LISTENING       6744	InHost      
  TCP    127.0.0.1:9850         0.0.0.0:0              LISTENING       940	InHost      
  TCP    127.0.0.1:9866         0.0.0.0:0              LISTENING       5528	InHost      
  TCP    127.0.0.1:9866         127.0.0.1:54115        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:9866         127.0.0.1:54416        ESTABLISHED     5528	InHost      
  TCP    127.0.0.1:18019        0.0.0.0:0              LISTENING       6376	InHost      
  TCP    127.0.0.1:40211        127.0.0.1:55169        ESTABLISHED     18988	InHost      
  TCP    127.0.0.1:40213        127.0.0.1:55181        ESTABLISHED     14952	InHost      
  TCP    127.0.0.1:40219        127.0.0.1:55179        ESTABLISHED     16068	InHost      
  TCP    127.0.0.1:40228        0.0.0.0:0              LISTENING       18988	InHost      
  TCP    127.0.0.1:40252        0.0.0.0:0              LISTENING       22404	InHost      
  TCP    127.0.0.1:40253        0.0.0.0:0              LISTENING       9820	InHost      
  TCP    127.0.0.1:40254        0.0.0.0:0              LISTENING       21152	InHost      
  TCP    127.0.0.1:40255        0.0.0.0:0              LISTENING       14952	InHost      
  TCP    127.0.0.1:40261        0.0.0.0:0              LISTENING       24936	InHost      
  TCP    127.0.0.1:40262        0.0.0.0:0              LISTENING       19960	InHost      
  TCP    127.0.0.1:43234        0.0.0.0:0              LISTENING       940	InHost      
  TCP    127.0.0.1:51496        0.0.0.0:0              LISTENING       3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:51521        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:51531        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:51657        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:51659        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:51682        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:51683        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:52209        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:52403        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:52450        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:52451        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:53416        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54610        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54611        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54612        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54613        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54615        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54616        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54617        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54619        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54620        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54621        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51496        127.0.0.1:54623        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51521        127.0.0.1:51496        ESTABLISHED     5768	InHost      
  TCP    127.0.0.1:51531        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:51542        127.0.0.1:9771         ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51624        0.0.0.0:0              LISTENING       7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:53349        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54144        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54300        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54312        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54384        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54385        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54454        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54539        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54543        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54544        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54614        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54618        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51624        127.0.0.1:54622        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51657        127.0.0.1:51496        ESTABLISHED     6744	InHost      
  TCP    127.0.0.1:51659        127.0.0.1:51496        ESTABLISHED     6744	InHost      
  TCP    127.0.0.1:51668        127.0.0.1:1337         ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:51682        127.0.0.1:51496        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51683        127.0.0.1:51496        ESTABLISHED     7676	InHost      
  TCP    127.0.0.1:51726        127.0.0.1:8082         ESTABLISHED     4144	InHost      
  TCP    127.0.0.1:51739        127.0.0.1:51740        ESTABLISHED     6376	InHost      
  TCP    127.0.0.1:51740        127.0.0.1:51739        ESTABLISHED     6376	InHost      
  TCP    127.0.0.1:51828        127.0.0.1:51829        ESTABLISHED     3188	InHost      
  TCP    127.0.0.1:51829        127.0.0.1:51828        ESTABLISHED     3188	InHost      
  TCP    127.0.0.1:51851        127.0.0.1:51852        ESTABLISHED     3188	InHost      
  TCP    127.0.0.1:51852        127.0.0.1:51851        ESTABLISHED     3188	InHost      
  TCP    127.0.0.1:52209        127.0.0.1:51496        ESTABLISHED     6120	InHost      
  TCP    127.0.0.1:52331        127.0.0.1:52332        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52332        127.0.0.1:52331        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52333        127.0.0.1:52334        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52334        127.0.0.1:52333        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52335        127.0.0.1:52336        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52336        127.0.0.1:52335        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52337        127.0.0.1:52338        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52338        127.0.0.1:52337        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52403        127.0.0.1:51496        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52404        127.0.0.1:52405        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52405        127.0.0.1:52404        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52407        127.0.0.1:52408        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52408        127.0.0.1:52407        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52409        127.0.0.1:52410        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52410        127.0.0.1:52409        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52411        127.0.0.1:52412        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52412        127.0.0.1:52411        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52413        127.0.0.1:52414        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52414        127.0.0.1:52413        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52415        127.0.0.1:52416        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52416        127.0.0.1:52415        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52420        127.0.0.1:52421        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52421        127.0.0.1:52420        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52422        127.0.0.1:52423        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52423        127.0.0.1:52422        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52424        127.0.0.1:52425        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52425        127.0.0.1:52424        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52426        127.0.0.1:52427        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52427        127.0.0.1:52426        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52428        127.0.0.1:52429        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52429        127.0.0.1:52428        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52430        127.0.0.1:52431        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52431        127.0.0.1:52430        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52432        127.0.0.1:52433        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52433        127.0.0.1:52432        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52434        127.0.0.1:52435        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52435        127.0.0.1:52434        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52436        127.0.0.1:52437        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52437        127.0.0.1:52436        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52438        127.0.0.1:52439        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52439        127.0.0.1:52438        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52440        127.0.0.1:52441        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52441        127.0.0.1:52440        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52442        127.0.0.1:52443        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52443        127.0.0.1:52442        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52444        127.0.0.1:52445        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52445        127.0.0.1:52444        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52446        127.0.0.1:52447        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52447        127.0.0.1:52446        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52448        127.0.0.1:52449        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52449        127.0.0.1:52448        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52450        127.0.0.1:51496        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52451        127.0.0.1:51496        ESTABLISHED     940	InHost      
  TCP    127.0.0.1:52767        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:53345        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:53349        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:53416        127.0.0.1:51496        ESTABLISHED     14576	InHost      
  TCP    127.0.0.1:53502        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:53981        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54060        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54063        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54064        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54136        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54140        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54144        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54188        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54189        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54190        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54191        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54192        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54193        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54194        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54195        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54196        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54197        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54198        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54199        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54200        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54243        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54297        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54298        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54299        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54300        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54301        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54302        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54303        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54304        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54305        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54306        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54307        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54308        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54309        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54310        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54311        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54312        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54316        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54337        127.0.0.1:18019        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54342        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54345        127.0.0.1:9772         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54346        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54347        127.0.0.1:9773         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54364        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54371        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54372        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54373        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54374        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54375        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54376        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54377        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54378        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54379        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54380        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54381        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54382        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54383        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54384        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54385        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54386        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54387        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54406        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54416        127.0.0.1:9866         ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54426        127.0.0.1:18019        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54431        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54432        127.0.0.1:9772         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54434        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54435        127.0.0.1:9773         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54446        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54447        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54448        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54449        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54450        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54451        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54452        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54453        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54454        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54455        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54456        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54457        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54458        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54460        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54481        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54512        127.0.0.1:18019        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54516        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54518        127.0.0.1:8082         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54519        127.0.0.1:9772         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54521        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54522        127.0.0.1:9773         TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54530        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54531        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54532        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54533        127.0.0.1:51624        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54534        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54535        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54536        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54537        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54538        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54539        127.0.0.1:51624        ESTABLISHED     3044	InHost      
  TCP    127.0.0.1:54540        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54541        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54542        127.0.0.1:51496        TIME_WAIT       0	InHost      
  TCP    127.0.0.1:54543        127.0.0.1:51624        ESTABLISHED     3044	InHost      
